"Timestamp","Date","Time","Teacher Name","Department","Period","Subject Name","Subject Code","Class Level","Room","Status","Notes"
"2026-07-10 08:00:00","2026-07-21","09:00-09:30","สมชาย ใจดี","คณิตศาสตร์","คาบที่ 2","คณิตศาสตร์พื้นฐาน","ค21101","ม.3","ห้อง 301","นิเทศแล้ว",""
"2026-07-12 10:30:00","2026-07-22","10:30-11:00","สมหญิง รักสอน","วิทยาศาสตร์","คาบที่ 4","วิทยาศาสตร์","ว21101","ม.2","ห้อง 205","ยืนยันแล้ว",""
"2026-07-13 13:00:00","2026-07-23","13:00-13:30","วิชัย เก่งมาก","ภาษาไทย","คาบที่ 7","ภาษาไทย","ท21101","ม.4","ห้อง 402","นิเทศแล้ว",""
"2026-07-14 09:15:00","2026-07-24","08:30-09:00","พิมพ์ใจ สดใส","ภาษาอังกฤษ","คาบที่ 1","English I","อ21101","ม.1","ห้อง 102","รอดำเนินการ",""
"2026-07-15 11:00:00","2026-07-25","11:00-11:30","นิพนธ์ มั่นคง","สังคมศึกษา","คาบที่ 6","สังคมศึกษา","ส21101","ม.5","ห้อง 503","รอดำเนินการ",""
"2026-07-16 14:00:00","2026-07-28","13:30-14:00","อารี สว่างจิต","ศิลปะ","คาบที่ 8","ศิลปะ","ศ21101","ม.3","ห้อง 305","ยืนยันแล้ว",""
"2026-07-18 08:45:00","2026-07-29","09:30-10:00","ประเสริฐ ชาญชัย","พลศึกษา","คาบที่ 3","พลศึกษา","พ21101","ม.2","สนามกีฬา","นิเทศแล้ว",""
"2026-07-20 10:00:00","2026-07-30","14:00-14:30","จินดา บุญมี","เทคโนโลยี","คาบที่ 9","คอมพิวเตอร์","ทต21101","ม.4","ห้อง คอม 1","รอดำเนินการ",""
"2026-07-22 09:00:00","2026-08-04","08:30-09:00","สมชาย ใจดี","คณิตศาสตร์","คาบที่ 1","คณิตศาสตร์เพิ่มเติม","ค22102","ม.4","ห้อง 401","รอดำเนินการ","ต้องการสื่อการสอน"
"2026-07-25 11:30:00","2026-08-05","10:30-11:00","สมหญิง รักสอน","วิทยาศาสตร์","คาบที่ 4","วิทยาศาสตร์เพิ่มเติม","ว22102","ม.3","ห้อง 305","รอดำเนินการ",""
